date,Controller1-0.time-based_0-flow2b,Controller1-0.time-based_0-res_load,Controller1-0.time-based_0-dump,Battery1-0.time-based_0-p_out,Battery1-0.time-based_0-soc,PV1-0.time-based_0-pv_gen,Wind1-0.time-based_0-wind_gen,Load1-0.time-based_0-load_dem
2012-06-01 00:00:00,-0.1916864736198332,0.1916864736198332,-0.0,0.0,100.0,0.0,0.2955745888801668,0.4872610625
2012-06-01 00:15:00,-0.2240136577968634,0.2240136577968634,-0.0,-0.1916864736198332,93.344,0.0,0.2487711447031365,0.4727848025
2012-06-01 00:30:00,-0.2226011208954253,0.2226011208954253,-0.0,-0.2240136577968634,85.566,0.0,0.2671914178545747,0.48979253875
2012-06-01 00:45:00,-0.2221044286318455,0.2221044286318455,-0.0,-0.2226011208954253,77.837,0.0,0.2637768726181544,0.4858813012499999
2012-06-01 01:00:00,-0.2411808014619552,0.2411808014619552,-0.0,-0.2221044286318455,70.125,0.0,0.2620805635380447,0.503261365
2012-06-01 01:15:00,-0.2208949909751067,0.2208949909751067,-0.0,-0.2411808014619552,61.751,0.0,0.1889394627748932,0.4098344537499999
2012-06-01 01:30:00,-0.2038194267682605,0.2038194267682605,-0.0,-0.2208949909751067,54.081,0.0,0.1795723132317394,0.38339174
2012-06-01 01:45:00,-0.1954580044473053,0.1954580044473053,-0.0,-0.2038194267682605,47.004,0.0,0.1869054430526946,0.3823634474999999
2012-06-01 02:00:00,-0.0814829461439506,0.0814829461439506,-0.0,-0.1954580044473053,40.217,0.0,0.1782599751060493,0.25974292125
2012-06-01 02:15:00,0.0296894603103028,-0.0296894603103028,-0.0,-0.0814829461439506,37.388,0.0,0.2043083028103028,0.1746188425
2012-06-01 02:30:00,0.0166635195569938,-0.0166635195569938,-0.0,0.0296894603103028,38.223,0.0,0.2288898683069938,0.21222634875
2012-06-01 02:45:00,-0.0382600917433744,0.0382600917433744,-0.0,0.0166635195569938,38.692,0.0,0.1789153420066255,0.2171754337499999
2012-06-01 03:00:00,-0.002736502532922,0.002736502532922,-0.0,-0.0382600917433744,37.364,0.0,0.1815528724670779,0.1842893749999999
2012-06-01 03:15:00,0.1237427953103028,-0.1237427953103028,-0.0,-0.002736502532922,37.269,0.0,0.2043083028103028,0.0805655075
2012-06-01 03:30:00,0.1002049701128725,-0.1002049701128725,-0.0,0.1237427953103028,40.749,0.0,0.2064664713628725,0.10626150125
2012-06-01 03:45:00,0.119356625419422,-0.119356625419422,-0.0,0.1002049701128725,43.567,0.0,0.1923621966694221,0.07300557125
2012-06-01 04:00:00,0.0508329374995207,-0.0508329374995207,-0.0,0.119356625419422,46.924,0.0,0.1261193749995207,0.0752864375
2012-06-01 04:15:00,-0.0409002155803861,0.0409002155803861,-0.0,0.0508329374995207,48.354,0.0,0.0821250694196138,0.123025285
2012-06-01 04:30:00,-0.0344408566513023,0.0344408566513023,-0.0,-0.0409002155803861,46.934,0.0,0.0738311358486976,0.1082719925
2012-06-01 04:45:00,-0.035641271780737,0.035641271780737,-0.0,-0.0344408566513023,45.738,0.0,0.0674761219692629,0.10311739375
2012-06-01 05:00:00,-0.0488715783020645,0.0488715783020645,-0.0,-0.035641271780737,44.5,0.0,0.0813466379479355,0.13021821625
2012-06-01 05:15:00,-0.0418474545294988,0.0418474545294988,-0.0,-0.0488715783020645,42.803,0.0177013723895664,0.0952638780809347,0.154812705
2012-06-01 05:30:00,-0.0876200033105947,0.0876200033105947,-0.0,-0.0418474545294988,41.35,0.0311256340313927,0.1000846239080125,0.21883026125
2012-06-01 05:45:00,0.1426408153743178,-0.1426408153743178,-0.0,-0.0876200033105947,38.308,0.1660777620969766,0.1106842957773411,0.1341212425
2012-06-01 06:00:00,0.0367693037382226,-0.0367693037382226,-0.0,0.1426408153743178,42.32,0.0577928820028083,0.1362540679854143,0.15727764625
2012-06-01 06:15:00,-0.0146878970539619,0.0146878970539619,-0.0,0.0367693037382226,43.354,0.0333835124700913,0.1463430079759466,0.1944144175
2012-06-01 06:30:00,0.202036551023492,-0.202036551023492,-0.0,-0.0146878970539619,42.844,0.2646774770900895,0.1769540464334025,0.2395949725
2012-06-01 06:45:00,-0.1167567142513049,0.1167567142513049,-0.0,0.202036551023492,48.526,0.0778951606358648,0.1303230138628302,0.32497488875
2012-06-01 07:00:00,-0.0799773103923275,0.0799773103923275,-0.0,-0.1167567142513049,44.472,0.1167601587490252,0.0848886658586472,0.281626135
2012-06-01 07:15:00,0.0389052421188606,-0.0389052421188606,-0.0,-0.0799773103923275,41.695,0.2737137335528914,0.0540884710659691,0.2888969624999999
2012-06-01 07:30:00,-0.0243360654925268,0.0243360654925268,-0.0,0.0389052421188606,42.789,0.0880327162402543,0.0555797982672188,0.16794858
2012-06-01 07:45:00,0.0584749460641417,-0.0584749460641417,-0.0,-0.0243360654925268,41.944,0.2426344691147597,0.040371575699382,0.22453109875
2012-06-01 08:00:00,-0.1210524774760153,0.1210524774760153,-0.0,0.0584749460641417,43.589,0.1098586821731712,0.0343727016008134,0.26528386125
2012-06-01 08:15:00,-0.1740633183092504,0.1740633183092504,-0.0,-0.1210524774760153,39.386,0.0524013246487312,0.0514717520420182,0.277936395
2012-06-01 08:30:00,0.1214935493587207,-0.1214935493587207,-0.0,-0.1740633183092504,33.342,0.3970021950252075,0.0446487555835131,0.32015740125
2012-06-01 08:45:00,-0.1335338557514367,0.1335338557514367,-0.0,0.1214935493587207,36.759,0.0969147461740402,0.041599836824523,0.27204843875
2012-06-01 09:00:00,-0.0422232412045835,0.0422232412045835,-0.0,-0.1335338557514367,32.122,0.1355207763840534,0.0529148024113629,0.23065882
2012-06-01 09:15:00,0.2586406177209716,-0.2586406177209716,-0.0,-0.0422232412045835,30.656,0.4447009723439817,0.0775281853769898,0.26358854
2012-06-01 09:30:00,-0.1447263141250187,0.1447263141250187,-0.0,0.2586406177209716,37.93,0.0724320076653304,0.0651067794596508,0.28226510125
2012-06-01 09:45:00,-0.0132166798400393,0.0132166798400393,-0.0,-0.1447263141250187,32.905,0.1345907741121587,0.0574052685478018,0.2052127225
2012-06-01 10:00:00,0.460432,-0.4824435026880124,0.0220115026880123,-0.0132166798400393,32.446,0.4530365309728395,0.1346190367151729,0.105212065
2012-06-01 10:15:00,-0.0369165157670348,0.0369165157670348,-0.0,0.460432,45.396,0.1625707585258982,0.1005307657070669,0.30001804
2012-06-01 10:30:00,-0.272912,0.6094404149444422,-0.3365284149444422,-0.0369165157670348,44.114,0.1081486845805582,0.1395637404749995,0.85715284
2012-06-01 10:45:00,-0.1658049486072034,0.1658049486072034,-0.0,-0.272912,34.638,0.5721676929179591,0.1440594134748375,0.882032055
2012-06-01 11:00:00,-0.151048,0.3982666945837203,-0.2472186945837203,-0.1658049486072034,28.881,0.131648996949136,0.2319969284671435,0.7619126199999999
2012-06-01 11:15:00,-0.1090879999999999,0.4088947301681241,-0.2998067301681242,-0.151048,23.636,0.1303877079411406,0.1972231081407353,0.7365055462500001
2012-06-01 11:30:00,-0.0787839999999999,0.4089727804925466,-0.3301887804925466,-0.1090879999999999,19.848,0.1606186091559441,0.2414865591015093,0.8110779487499999
2012-06-01 11:45:00,-0.0568959999999999,0.3500317214542634,-0.2931357214542634,-0.0787839999999999,17.112,0.194930279354887,0.3239463916908496,0.8689083925000001
2012-06-01 12:00:00,-0.0410879999999999,0.382419400748587,-0.341331400748587,-0.0568959999999999,15.136,0.243567073627501,0.242288839373912,0.86827531375
2012-06-01 12:15:00,0.0795286116174649,-0.0795286116174649,-0.0,-0.0410879999999999,13.709,0.2102804905029258,0.2182337773645391,0.34898565625
2012-06-01 12:30:00,0.1580048727628997,-0.1580048727628997,-0.0,0.0795286116174649,15.946,0.191322540947033,0.1958260193158667,0.2291436875
2012-06-01 12:45:00,0.2431431764420138,-0.2431431764420138,-0.0,0.1580048727628997,20.39,0.2641150014385639,0.1930516662534499,0.21402349125
2012-06-01 13:00:00,0.2596685161666347,-0.2596685161666347,-0.0,0.2431431764420138,27.228,0.2735311060537622,0.2064664713628725,0.22032906125
2012-06-01 13:15:00,0.102755653168933,-0.102755653168933,-0.0,0.2596685161666347,34.531,0.1453524879855304,0.1769540464334025,0.21955088125
2012-06-01 13:30:00,0.2874810663997428,-0.2874810663997428,-0.0,0.102755653168933,37.421,0.3250963383338761,0.1958260193158667,0.23344129125
2012-06-01 13:45:00,-0.2356791561495712,0.2356791561495712,-0.0,0.2874810663997428,45.506,0.2367952524863219,0.2108282963641068,0.683302705
2012-06-01 14:00:00,-0.218584,0.6895741667302593,-0.4709901667302593,-0.2356791561495712,37.323,0.2319190280245262,0.1557187014952146,1.07721189625
2012-06-01 14:15:00,-0.157864,0.5511648622663704,-0.3933008622663704,-0.218584,29.733,0.2603497310525332,0.3220007729310962,1.13351536625
2012-06-01 14:30:00,-0.1140159999999999,0.2340107697700238,-0.1199947697700238,-0.157864,24.252,0.2469578158525296,0.3152524756274465,0.79622106125
2012-06-01 14:45:00,0.2605444227082651,-0.2605444227082651,-0.0,-0.1140159999999999,20.293,0.2728108130051285,0.2487711447031365,0.261037535
2012-06-01 15:00:00,0.0464569157950596,-0.0464569157950596,-0.0,0.2605444227082651,27.621,0.1378971654944744,0.2767330828005852,0.3681733325
2012-06-01 15:15:00,0.0313113590086883,-0.0313113590086883,-0.0,0.0464569157950596,28.928,0.1731979796852269,0.2406860518234614,0.3825726725
2012-06-01 15:30:00,-0.0469797495506287,0.0469797495506287,-0.0,0.0313113590086883,29.809,0.1963525896423774,0.2288898683069938,0.4722222075
2012-06-01 15:45:00,-0.0422519866626207,0.0422519866626207,-0.0,-0.0469797495506287,28.178,0.1976225946322635,0.2359201312051157,0.4757947125
2012-06-01 16:00:00,-0.133688,0.3422049904051799,-0.2085169904051799,-0.0422519866626207,26.711,0.0797286981571337,0.1521572951876864,0.57409098375
2012-06-01 16:15:00,0.0568430822643707,-0.0568430822643707,-0.0,-0.133688,22.069,0.2119094448310637,0.222759219933307,0.3778255825
2012-06-01 16:30:00,-0.0430988594729761,0.0430988594729761,-0.0,0.0568430822643707,23.668,0.1446307391543335,0.1903036413726903,0.37803324
2012-06-01 16:45:00,-0.097376,0.1316550109570817,-0.0342790109570816,-0.0430988594729761,22.172,0.1007534470734062,0.124566623219512,0.35697508125
2012-06-01 17:00:00,-0.070328,0.160934862752651,-0.090606862752651,-0.097376,18.791,0.0788391420893364,0.1000846239080125,0.33985862875
2012-06-01 17:15:00,-0.050792,0.1905118219517252,-0.1397198219517252,-0.070328,16.349,0.0932660648464015,0.1059882894518732,0.38976617625
2012-06-01 17:30:00,-0.03668,0.1004779165303292,-0.0637979165303292,-0.050792,14.585,0.1376778191462093,0.2406860518234614,0.4788417875
2012-06-01 17:45:00,0.1423090461283207,-0.1423090461283207,-0.0,-0.03668,13.311,0.3333182418048593,0.2406860518234614,0.4316952475
2012-06-01 18:00:00,-0.0585039999999999,0.5085285819920311,-0.4500245819920311,0.1423090461283207,17.313,0.1052506637003825,0.3428220880575863,0.95660133375
2012-06-01 18:15:00,-0.042256,0.4703023782570372,-0.4280463782570372,-0.0585039999999999,15.282,0.10378723106602,0.2167390306769427,0.79082864
2012-06-01 18:30:00,-0.03052,0.126022475546865,-0.095502475546865,-0.042256,13.815,0.158557798115774,0.1335363150873609,0.4181165887499999
2012-06-01 18:45:00,-0.02204,0.1002685888454744,-0.0782285888454744,-0.03052,12.755,0.0799826397921649,0.1581235813623607,0.33837481
2012-06-01 19:00:00,-0.01592,0.095596190105743,-0.079676190105743,-0.02204,11.99,0.1059802394088426,0.1362540679854143,0.3378304975
2012-06-01 19:15:00,-0.0114959999999999,0.1202167252012862,-0.1087207252012862,-0.01592,11.437,0.1349755956440235,0.4060813691546903,0.66127369
2012-06-01 19:30:00,-0.008304,1.0111374680280538,-1.0028334680280535,-0.0114959999999999,11.038,0.0461434413110666,0.1539311319108796,1.21121204125
2012-06-01 19:45:00,-0.006,1.2062243602897695,-1.2002243602897695,-0.008304,10.75,0.0258664008249637,0.0179365313852666,1.2500272925
2012-06-01 20:00:00,-0.0043359999999999,1.1072590257492634,-1.1029230257492637,-0.006,10.542,0.0217980538093092,0.0647728991914276,1.1938299787500002
2012-06-01 20:15:00,-0.003128,1.020200558893429,-1.017072558893429,-0.0043359999999999,10.391,0.010506709778648,0.0532066113279228,1.08391388
2012-06-01 20:30:00,-0.002256,1.0924653136668772,-1.0902093136668771,-0.003128,10.282,0.0042068985940135,0.0678192202391092,1.1644914325
2012-06-01 20:45:00,-0.001632,1.0378396986844265,-1.0362076986844264,-0.002256,10.204,0.0007015509557481,0.0486648378598254,1.0872060875
2012-06-01 21:00:00,-0.001176,1.084042274074725,-1.082866274074725,-0.001632,10.147,0.0,0.0605357934252749,1.1445780675
2012-06-01 21:15:00,-0.0008479999999999,1.009116057249668,-1.008268057249668,-0.001176,10.106,0.0,0.0634487927503319,1.07256485
2012-06-01 21:30:00,-0.0006159999999999,0.6294616322473509,-0.6288456322473509,-0.0008479999999999,10.077,0.0,0.0664537740026491,0.69591540625
2012-06-01 21:45:00,-0.0004479999999999,0.8932270739611249,-0.8927790739611249,-0.0006159999999999,10.056,0.0,0.104605851038875,0.997832925
2012-06-01 22:00:00,-0.0003199999999999,0.9267764466184616,-0.9264564466184616,-0.0004479999999999,10.04,0.0,0.0817352358815382,1.0085116825
2012-06-01 22:15:00,-0.0002319999999999,0.9519199692226936,-0.9516879692226936,-0.0003199999999999,10.029,0.0,0.0860917945273062,1.03801176375
2012-06-01 22:30:00,-0.000168,0.7886118763041849,-0.7884438763041849,-0.0002319999999999,10.021,0.0,0.088122178695815,0.876734055
2012-06-01 22:45:00,-0.00012,0.3773132690613299,-0.3771932690613299,-0.000168,10.015,0.0,0.07095958843867,0.4482728575
2012-06-01 23:00:00,-8.799999999999386e-05,0.3517158500924712,-0.3516278500924713,-0.00012,10.011,0.0,0.0809592736575287,0.4326751237499999
2012-06-01 23:15:00,-6.399999999999295e-05,0.1309030403913527,-0.1308390403913528,-8.799999999999386e-05,10.008,0.0,0.0848886658586472,0.21579170625
2012-06-01 23:30:00,-4.800000000000182e-05,0.05610416128292209,-0.05605616128292209,-6.399999999999295e-05,10.006,0.0,0.1815528724670779,0.23765703375
